"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 20 23:17:59 GMT 2023","Wed Sep 20 23:18:00 GMT 2023","1208","tests","Test Main Page","TestMainPage","","","test_just_open",""
"skipped","Wed Sep 20 23:18:15 GMT 2023","Wed Sep 20 23:18:28 GMT 2023","12566","tests","Test Main Page","TestMainPage","","","test_create_sms",""
"skipped","Wed Sep 20 23:18:02 GMT 2023","Wed Sep 20 23:18:14 GMT 2023","12226","tests","Test Main Page","TestMainPage","","","test_fill_form",""
