"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 20 22:42:44 GMT 2023","Wed Sep 20 22:42:44 GMT 2023","0","tests","Test Main Page","TestMainPage","","","test_just_open",""
"skipped","Wed Sep 20 22:42:46 GMT 2023","Wed Sep 20 22:42:46 GMT 2023","0","tests","Test Main Page","TestMainPage","","","test_fill_form",""
"skipped","Wed Sep 20 22:42:47 GMT 2023","Wed Sep 20 22:42:47 GMT 2023","0","tests","Test Main Page","TestMainPage","","","test_create_sms",""
